entity_id,from_name_frequency,domain_creation_date,type,min_domain_age,from_domain,from_email_reputation,subject,body,spf_result_from,number_links,link_page_score_cloud,from_two_different_emails,rep_first_sdomain_rdomain,from_alexa_rank,link_details,mta_is_behind,email_body_content_type,x_originating_country,phishing,,
7fa1243ac3f221f72b3ae29c51529ef3,0,2004-05-27T00:00:00,rt_info_v2,6123,green.pumo.com.tw,46,"Posted scheduled assignment : "" INDEPENDENT : Mutations and Inheritance """,Err:509,pass,1,0,False,False,151947,"[{display_text=, domain=luter.com.tw, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6123, too_short=false, raw_info={updated_date=null, status=null, zipcode=null, name=null, dnssec=null, city=null, expiration_date=2023-05-28T00:00:00, domain_name=luter.com.tw, creation_date=2004-05-27T00:00:00, whois_server=null, state=null, registrar=SEEDNET, referral_url=null, address=null, name_servers=ns1.allmarketing.com.tw     
      ns2.allmarketing.com.tw, org=null, country=null, emails=null, registrant_name=LUTER ENTERPRISE CO., LTD., registrar_url=http://rs.seed.net.tw, tech_phone=+886.422479015, tech_fax=+886.422414361, tech_name=null, tech_org=null, tech_email=louischou@luter.com.tw, fax=null, email=null, phone=null, domain=null, changed=null, created=null, tech_c=null, expires=null, saci=null, nsstat=null, nic_hdl_br=null, person=null, nslastaa=null, owner=null, ownerid=null, admin_c=null, nserver=null, owner_c=null, billing_c=null, registrant_address=null, admin_phone=+886.422479015, admin_name=null, registrant_zip=null, registrant_org=null, admin_email=louischou@luter.com.tw, country_code=null, registrant_application_purpose=null, tech_country_code=null, registrant_country=TW, last_updated_by_registrar=null, billing_name=null, billing_application_purpose=null, admin_country=null, admin_id=null, tech_address2=null, tech_phone_number=null, admin_city=null, registrant_id=null, billing_country=null, registrant_postal_code=null, billing_email=null, registrant_nexus_category=null, admin_application_purpose=null, registrant_email=louischou@luter.com.tw, admin_address2=null, tech_state_province=null, admin_phone_number=null, admin_address1=null, billing_nexus_category=null, billing_state_province=null, registrant_state_province=Taiwan, domain__id=null, tech_nexus_category=null, billing_country_code=null, billing_address1=null, billing_address2=null, tech_city=null, registrant_city=none, admin_country_code=null, admin_state_province=null, created_by_registrar=null, admin_postal_code=null, registrant_address2=null, billing_postal_code=null, registrar_id=null, admin_nexus_category=null, billing_city=null, registrant_country_code=null, billing_phone_number=null, tech_postal_code=null, tech_id=null, registrant_phone_number=null, tech_application_purpose=null, tech_address1=null, billing_id=null, registrant_address1=null, tech_country=null, registrant=null, transfer_date=null, last_modified=null, admin_fax_ext=null, tech_phone_ext=null, tech_fax_ext=null, admin_address=null, domain_id=null, admin_fax=+886.422414361, registrant_fax_ext=null, admin_address3=null, registrant_address3=null, admin_org=null, registrant_fax=+886.422414361, tech_address=null, registrant_phone=+886.422479015, tech_address3=null, admin_phone_ext=null, registrant_phone_ext=null, registered=null, expire=null, name_server_statuses=null, registrant_number=null, domain_status=null, description=null, source=null, domain_name_id=null, name_server_ids=null, technical_id=null, tech_org_id=null, name_servers_ipv4=null, admin_legal_form=null, admin_org_id=null}, creation_date=2004-05-27T00:00:00, domain=null}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://www.luter.com.tw}]",False,HTML,,phishing,,
b9170feb62211ebc854018d8bd73bceb,0,,rt_info_v2,,ingrammicro.com,2,p and d      hot sizzle one :),"Update on Imperialdade at 9 March , 8888888 You received a new fax message . Time : 04:32 From : All Printing Services Message : A 2 Page(s ) Fax Awaits Your Review Fax Priority Very Important Fax - ID F-8888888 - 8888888 Sincerely , The All Printing Services Team 8888888 All Printing Services Inc",neutral,0,0,False,False,6868,[],False,HTML,,phishing,,
267a8e12bf29374c8f0097459a3ffa33,0,,rt_info_v2,,zenefits.com,2,Declined : U.S. Sales & Employee Model Deployment and Targeted Maintenance,[ Banking Network Suriname N.V. ] [ Action Required ] Pay Connect Payroll Change Summary,softfail,0,0,False,True,10467,[],True,Text,,phishing,,
eaa431a3704ee63ff3556206180b7169,0,1998-08-10T04:00:00,rt_info_v2,8243,sharepointonline.com,5776,vn_spo has invited you to ' TELT Comms ',vn_spo has invited you to ' TELT Comms ' Here 's the site that vn_spo shared with you . Go to Name Name this site to get updates in your newsfeed .,pass,2,0,False,False,991052,"[{display_text=Follow, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8243, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://msuclanac.sharepoint.com/sites/TELTComms?FollowSite=1&SiteName=TELT%20Comms}, {display_text=TELT Comms, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8243, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://msuclanac.sharepoint.com/sites/TELTComms?e=1%3A943f98e7738f42319264ef2d9a531be6}]",False,HTML,,clean,,
d676e634e9978e7600a973ac04f27962,0,1998-08-10T04:00:00,rt_info_v2,8242,sharepointonline.com,5776,Name s cope ipad has joined your meeting - Chester Kneir Funeral Service,"Documents - Invoice DHL 02 8888888.pdf This email has been sent from an external domain , be aware of potential malicious attachments or links and make sure this mail is legitimate and not a phishing mail before you open any attachments or click on links . Invoice DHL 02 8888888.pdf has been added Roelandts , Name Name 15:48 Modify my alert settings | View Documents",fail,5,0,False,False,991052,"[{display_text=null, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8242, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://katoennatie.sharepoint.com/sites/third/cust/tereos}, {display_text=null, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8242, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://katoennatie.sharepoint.com/sites/third/cust/tereos/Shared%20Documents}, {display_text=Modify my alert settings, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8242, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://katoennatie.sharepoint.com/sites/third/cust/tereos/_layouts/15/MySubs.aspx}, {display_text=View Documents, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8242, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://katoennatie.sharepoint.com/sites/third/cust/tereos/Shared Documents}, {display_text=Invoice DHL 02 2021.pdf, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing=null, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8242, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://katoennatie.sharepoint.com/sites/third/cust/tereos/Shared%20Documents/Invoicing/2021/02%20februari/Invoice%20DHL%2002%202021.pdf}]",True,HTML,Ireland,phishing,,
31370a13dca6e580f153b02b4f8a76d8,,,rt_info_v2,,sfdpw.org,39,turned in po resource plaque sanding pad RUSH,turned in po resource plaque sanding pad RUSH,pass,0,0,False,False,2913522,[],False,,,clean,,
2d4fd240c5721ecc045cc22319f4c3a4,1,,rt_info_v2,,anixter.com,1,Legal tracker,"Legal tracker Hi Name , can you get a call with our rep . The report does not work . When you pull it up , there are no totals for each region . Thx cathy Sent from my iPhone",na,0,0,False,,57381,[],False,Text,United States,clean,,
dd53d54aee38b6f849824558916144bb,0,2016-07-05T17:13:39,rt_info_v2,1703,sharepointonline.com,5776,Connected succesfully through # # SFTP_HOST # # for transerfing while processing,Private Massage ( 4Fun ) Sweet Heart shared a file with you Live Video chat and contract me Open here > > anonymous.webpage Our Casual Contact 25 + This link will work for anyone . Open Privacy Statement,pass,4,72,False,False,991052,"[{display_text=Open, domain=sharepoint.com, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=null, status=error, status_code=failed}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=8243, too_short=false, raw_info=null, creation_date=1998-08-10T04:00:00, domain=sharepoint.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://victoriaca-my.sharepoint.com:443/:b:/g/personal/rascon09_ncov_office_gy/EdtVmeRn_3ZMq_2zZXlOeP4By5YvwbCX0BE2FSVCwYTmNQ?e=4%3aIQV8dR&at=9}, {display_text=Privacy Statement, domain=svc.ms, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=null, status=error, status_code=failed}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=1703, too_short=false, raw_info=null, creation_date=2016-07-05T17:13:39, domain=svc.ms}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://canadaeastr-notifyp.svc.ms:443/api/v2/tracking/method/Click?mi=_lXoJVPPU0yQH5a3cahShg&tc=PrivacyStatement&cs=f97d4ae4336b3342c9a937ee3f36e84e&ru=https%3a%2f%2fprivacy.microsoft.com%2fprivacystatement%5c}, {display_text=null, domain=wixsite.com, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=null, status=error, status_code=failed}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=3222, too_short=false, raw_info=null, creation_date=2012-05-08T23:35:02, domain=wixsite.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://safe-date9.wixsite.com/fuck-me}, {display_text=null, domain=microsoft.com, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=null, status=error, status_code=failed}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=10900, too_short=false, raw_info=null, creation_date=1991-05-02T04:00:00, domain=microsoft.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://privacy.microsoft.com/privacystatement\}]",False,HTML,,phishing,,
046ead6a25fd3456b37a57e1a4040937,0,2004-09-24T14:16:27,rt_info_v2,6006,parasole.com,2,Steak Frites - Ooh La La,"Steak Frites - Ooh La La Steak Frites - Ooh La La To view this email as a web page , click here . This email was sent by : Parasole Restaurant Holdings8888888 France Avenue South Edina , MN , 8888888 , United States UnsubscribeUpdate Profile",pass,8,1,False,False,2811884,"[{display_text=null, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://cl.s4.exct.net/?qs=55ae3fa09fb5b75615405e25e86a4b5ffd33d2945f05e98f8b7d3f9a88b85a5343ece279ef4428372d725b1d48f6143e}, {display_text=null, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://cl.s4.exct.net/?qs=55ae3fa09fb5b756ed95e5525f017b3ca1e47b268a0975b7a0ea8590578ad1f781be1e24e8738a33bb5c809a15210510}, {display_text=null, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://cl.s4.exct.net/?qs=55ae3fa09fb5b7560c09293840ed7d43d4cd90d71cee34b778c71f12989b197e7ffada2e562cfcc7c18f94e39ea7c89a}, {display_text=here., domain=exacttarget.com, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=7682, too_short=false, raw_info=null, creation_date=2000-02-21T16:30:12, domain=exacttarget.com}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=http://view.S4.exacttarget.com/?qs=cfb858d3642f94e71ca22e7d99ad2faef0e967cc89c0d46652c0f9561961e51a9c641718eae9e60ac5478bb12d8bb9a007d01dfb106084e2abe34dcfc552d0e0532e2514d313a50eb56e787892d2b8bc}, {display_text=null, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://cl.s4.exct.net/?qs=55ae3fa09fb5b756f40962ca1d95513802d02c1f0e9c423a6c36cb2a6f4be9e45532e691738e692c5a509e05c386a09a}, {display_text=Unsubscribe, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=http://cl.S4.exct.net/unsub_center.aspx?qs=f2bbf7b121fa59fcd40896fdd3f19cdf619cbeea487f540d37c47ea8ad213a788e5834e3d3e475aead693a5f73c88d29a8752ccd84b94fb4af4e98e9e28ff9a0}, {display_text=null, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=https://cl.s4.exct.net/?qs=55ae3fa09fb5b7568d8f81c5d933f82378d16fe40725060be2a24eec7bc153427d59ec78a91c71d51d5004aa729a77fc}, {display_text=Update Profile, domain=exct.net, attachment_id=null, results={google_safe_browsing={result_boolean=false, result_raw={matches=[], status=null, status_code=null}}, domain_age={result_boolean=false, result_raw={status=ok, updated_date=null, domain_age=6006, too_short=false, raw_info=null, creation_date=2004-09-24T14:16:27, domain=exct.net}}, phishtank={result_boolean=false, result_raw=null}, bitdefender=null}, detections=[], link=http://cl.S4.exct.net/profile_center.aspx?qs=f2bbf7b121fa59fcc7e04caa21186bf441bd4a45b88745a691670dd02123fd6f222c702832647f6e219246ed8d62457437dbc87393f57056eba90f5e1561acc7}]",False,HTML,,clean,,
a903ef015025d93669d119ce839e42c1,0,,rt_info_v2,,github.com,11918,Re : [ wheelsup / apiAuthenticationService ] DR-422424 : Manage Users changes ( # 422424 ),"Re : [ wheelsup / apiAuthenticationService ] DR-8888888 : Manage Users changes ( # 8888888 ) Merged # 8888888 into release_DR_8888888_manage_users . You are receiving this because you authored the thread . Reply to this email directly , view it on GitHub , or unsubscribe .",pass,0,0,False,False,82,[],False,HTML,,clean,,
